"","DMA","GT.MVT","GT.Burglary","GT.Larceny","GT.Rape","UCR.Rape","UCR.Burglary","UCR.Larceny","UCR.MVT","DMA.INDEX","Percentage.of.Foreign.Born","Percentage.of.MoveIn","Percentage.of.Renter","Mobility.Index","Concentrated.Disadvantage.Index","Percentage.of.Unemployed","Percentage.of.Female.Headed.Family","Percentage.of.Poverty","Heterogeneity.Index","Percentage.of.Young.Males","Percentage.of.Dropped.Out","Percentage.of.Divorced","Population.logged","Less.than.High.School","Percentage.of.White","Percentage.of.Black","Percentage.of.Hispanic","Population","Drug.Mortality.Rate","Law.Enforce.per.Thousand","Internet.Usage.HH","Median.Vehicle.HH"
"1","Albany-Schenectady-Troy NY",42.6513507057321,73.0915533322912,39.7449339651175,59.3771114864865,46.6308143322255,30.2262123982261,48.7292162872634,10.0927454814199,770,0.0635989121850265,0.12441703609332,0.28033646169012,-1.47850249917513,-2.43237094754958,0.03316408884687,0.0701376836124798,0.0476868544121624,0.286045589054205,0.0573372745248376,0.0449359539490743,0.0889160474326529,14.1431842002291,0.0636976341321404,0.841367882652032,0.0548951673805392,0.046939043160947,1387736,116.752035206184,5.81955069263895,0.813265953387223,2.01111111111111
"2","Albuquerque-Santa Fe NM",78.3471640891954,56.4639674847585,72.5385623550761,59.3169341216216,91.1212484659741,75.85860261117,74.4467438025877,65.8677107857801,1470,0.0837150635051231,0.132308847646867,0.292104371221318,-0.963947230874569,1.86386695059588,0.036681594045246,0.0910812990998929,0.0925222366245027,0.640140296934372,0.0617152575584152,0.0731308102068519,0.106715637513709,14.4581743792086,0.0957240173028223,0.405511429028953,0.016571572665201,0.42458623657305,1901539.5,242.123802604095,5.28545423326731,0.808536524778584,2.18222222222222
"3","Atlanta GA",71.3739704828474,63.8841123443281,57.8344591188628,62.7913851351351,30.5207776835935,56.7300984056446,65.7020233781361,46.4403189752231,477,0.126784885237671,0.152849985044603,0.338338500897249,0.665001736494313,1.28689409428957,0.0398113723439983,0.0956033408073012,0.073890222209143,0.625533774448708,0.0650329071007749,0.0480696036210405,0.0870937235265947,15.7171073569472,0.0804902025347569,0.520962195771901,0.298576108786292,0.10733779143052,6696579,128.979677003819,4.05438358899372,0.831741958248522,2.23165618448637
"4","Austin TX",54.3450037909081,66.2362565786046,56.5329166246597,47.6467483108108,58.3331538793986,41.3429796579254,71.2037439586637,25.2352675194833,648,0.14400437520285,0.189659720576784,0.363027840101598,2.50447453347422,-2.39024453176592,0.0295768988535819,0.069972485478447,0.0531245876844358,0.598337772510235,0.0583049480585979,0.0398732294963358,0.087340599272778,14.568280917888,0.0733960533672999,0.544890344358801,0.0671992625088736,0.312524112370358,2122873,108.42579925716,3.87564399754484,0.838420998182086,2.23425925925926
"5","Bakersfield CA",100,82.1447553540722,100,80.15625,39.7801821824034,87.4055363545819,60.3801378967972,100,130,0.201754240215977,0.16079733191396,0.418248613045593,2.44649317078524,8.72573742625744,0.0495596638193255,0.116988214439253,0.136311382734333,0.59870277168831,0.0736468063236985,0.042515550453104,0.0724441966779556,13.6793305179108,0.158295858015287,0.356740200221042,0.0523235461113998,0.518940672212383,872685.5,213.783369622975,7.31936075481946,0.827710617563574,2.17777777777778
"6","Baltimore MD",61.5404588556651,63.5631285498411,52.1675572134288,54.9113175675676,39.3586818193895,47.7522910946653,64.3406538704299,41.6538230571855,264,0.0955526668076406,0.127978291143666,0.298623145610587,-1.0054390193452,-1.15525404097747,0.035275880574331,0.0875841564255035,0.0465626665852997,0.5676154079543,0.0585623527251068,0.0380857590392899,0.0827214588944558,14.9032143985982,0.068742465127917,0.593239655900137,0.274073637235979,0.0536906656467121,2967452.5,310.509339800609,6.38190501785623,0.827366913373092,2.17878787878788
"7","Baton Rouge LA",53.4144137594383,68.2184357250795,54.8210505091239,58.2252956081081,34.2088568862313,70.3627581003793,83.4287066753634,24.358243420552,1235,0.0370600346594088,0.134114528159412,0.286945680340292,-0.991949100251531,1.86354067835367,0.0356573607783699,0.106160354600658,0.0812631460113368,0.548613901873661,0.0607783699212829,0.0538753971856559,0.092340161997425,13.7325473397485,0.0906913954486438,0.569377488768287,0.354085518560168,0.0383622071198466,920385,170.638221295798,6.45436420628324,0.819635737170807,2.07008547008547
"8","Birmingham AL",59.5546461992252,82.0853525089886,53.5447121685654,71.9394003378378,47.7111867585544,67.2778101263611,65.133114901009,33.6411192203174,800,0.0338765784565411,0.143328012576367,0.279930187983841,-0.776458082999584,1.95390865013523,0.037578964347031,0.0939206789637894,0.0859877400034249,0.477137138002165,0.060118796284806,0.04552779416796,0.100858061743988,14.447646057435,0.0977301794274043,0.674048674429994,0.258571781989446,0.0390728862214539,1881624.5,183.431564095871,4.18229035601949,0.812799398719521,2.19
"9","Boise ID",36.8071206755087,61.5684435412433,42.1373122290553,50.3737331081081,60.6811899340163,28.6432518410009,42.5952173090135,15.7042866034817,1612,0.0669691700407428,0.170858771117062,0.293319963953444,0.505103059870546,-2.18240110531222,0.0319189714039118,0.065562075950158,0.0650847622370218,0.33887732990064,0.0677129475674921,0.041936273652548,0.0979355731275464,13.5770883806109,0.063663421630472,0.800549583053042,0.00879079035881554,0.140704684783023,787870,130.17610324687,4.65051340957265,0.822478146505382,2.31623931623932
"10","Boston MA-Manchester NH",42.9328126460538,35.1456411859726,42.1060590785361,49.9324324324324,38.2674060353318,27.3395082255337,41.0539869356757,17.2430657201074,96,0.155928141825361,0.130047378747248,0.311206294604991,-0.694234022797964,-2.67329637565837,0.0343760594737299,0.068433910240613,0.0424445552619625,0.415357704868044,0.0572593151072233,0.0253350424709565,0.0794858500207458,15.6928763063831,0.0600079800938273,0.753602440170715,0.0610549849271694,0.0949209670845608,6536264,213.014061850436,4.12139105764394,0.825041310204191,2.075
"11","Buffalo NY",41.7976174402542,63.0670626856339,46.0106865611453,65.4856418918919,42.0361228090505,39.2181594318939,53.0268503196837,17.0910236143293,440,0.0507104709469394,0.117076420148133,0.275101782142362,-1.85110606661016,-1.32719830682587,0.0324137339169126,0.0799328962157542,0.064397275087492,0.32223271726509,0.0591991534894512,0.0416789217806536,0.0895591688176799,14.2795775376259,0.0668387477252072,0.816624275123473,0.0915097770899565,0.0446093580785518,1590529.5,168.98832186011,6.91153480649054,0.804131430901158,1.98111111111111
"12","Cedar Rapids-Waterloo-Iowa City & Dubuque IA",39.2738074218709,83.4953884633422,42.5143663675774,62.6097972972973,44.3594496503684,35.7643786410916,40.6722115105789,14.9372125766534,1848,0.0436618617914762,0.153647184878874,0.243328143398459,-1.0686631627572,-5.05908411363661,0.0234306027579202,0.0590430354058602,0.0438477085025631,0.216881548165484,0.0585525104217241,0.0324651382651855,0.0800767887138449,13.7056566286941,0.0465118615124475,0.883121550506995,0.040796794517643,0.0335001925298421,895965,97.3927556406283,2.84720943340421,0.815865968099059,2.31587301587302
"13","Champaign & Springfield-Decatur IL",40.1825867494781,66.4342660622167,44.2978122794637,71.2162162162162,76.0765785418321,53.6901679934184,53.89065602998,17.2617781840317,1640,0.0432748611324405,0.165603678201267,0.284689727509306,0.14772520195428,-1.41395157488866,0.0350357864077467,0.0763588348953164,0.0635032906837317,0.313074357896746,0.0576568077751207,0.0469437105754585,0.0979166470784271,13.7717749479859,0.060031947112798,0.822619872190655,0.0907651114126829,0.0330372636221841,957207,146.664228942584,4.51469744788745,0.809780379844284,2.15722222222222
"14","Charleston-Huntington WV",46.2584256826231,60.1261007764056,55.8534126424035,91.9108952702703,40.7260401374309,42.1014078120364,43.530149957915,20.9569698266882,2074,0.0113268641634458,0.123751308280321,0.256269377843675,-1.95021429303868,1.86308350170459,0.0339448701245643,0.0743409417629355,0.104701575120745,0.114608769318335,0.0575906126549971,0.0405864318842858,0.112624407244824,14.0124945111909,0.116736995929703,0.94060191775726,0.0227576106089678,0.00975631187514089,1217724.5,397.766155576788,3.96805681416445,0.798970726839708,2.07941176470588
"15","Charleston SC",56.5759272145654,63.6454588088166,49.3940921463857,58.5831925675676,49.4440603176495,51.8118119623592,71.8162150286586,42.0686675955628,630,0.0477396840987615,0.156148730204295,0.311990228527489,0.299703258887764,0.317411104097389,0.0359126977264841,0.0909248094642248,0.0723406514238046,0.527392429118632,0.0554677475695249,0.0427714295739231,0.0886205461464591,13.6732820260568,0.0762903450796209,0.623401154915191,0.284914626427937,0.0506909547014548,867423,154.839584530654,4.88458341547319,0.818131059612292,2.09444444444444
"16","Charlotte NC",60.4779659960741,44.4447918295034,51.3206976509729,59.6875,30.4180194753146,58.0669884939895,65.4724198675262,26.6043460930101,616,0.0840928079639326,0.147090327491579,0.311829925528668,-0.0431654915843342,1.46847697270187,0.0420265563924005,0.0867959119280927,0.0729609033154396,0.518228974166097,0.0625451532662622,0.044513292143077,0.0847414271909437,14.9625945473993,0.0901764911176479,0.658659090497705,0.198088788271313,0.0882480993154328,3148997,166.862738888499,4.02699653254671,0.823849969657921,2.22121212121212
